1,"Doctor of Pharmacy","Doctor of Pharmacy","School of Pharmacy"
2,"Bachelor of Science in Economics","Bachelor of Science in Economics","Faculty Of Arts and Social Sciences"
3,"Bachelor of Science in Psychology","Bachelor of Science in Psychology","Faculty Of Arts and Social Sciences"
4,"Bachelor of Arts in Environment and Development Studies","Bachelor of Arts in Environment and Development Studies","Faculty Of Arts and Social Sciences"
5,"Bachelor of Arts in Communication Studies","Bachelor of Arts in Communication Studies","Faculty Of Arts and Social Sciences"
6,"Bachelor of Arts in Theology","Bachelor of Arts in Theology","Faculty Of Arts and Social Sciences"
7,"Bachelor of Arts in Family Counseling","Bachelor of Arts in Family Counseling","Faculty Of Arts and Social Sciences"
8,"Bachelor of Arts in Church Administration","Bachelor of Arts in Church Administration","Faculty Of Arts and Social Sciences"
9,"Bachelor of Arts in Christian Education","Bachelor of Arts in Christian Education","Faculty Of Arts and Social Sciences"
10,"Bachelor of Arts in Sociology","Bachelor of Arts in Sociology","Faculty Of Arts and Social Sciences"
11,"Bachelor of Arts in Social Work","Bachelor of Arts in Social Work","Faculty Of Arts and Social Sciences"
12,"Bachelor of Arts in English","Bachelor of Arts in English","Faculty Of Arts and Social Sciences"
13,"Bachelor of Arts in French","Bachelor of Arts in French","Faculty Of Arts and Social Sciences"
14,"Bachelor of Law","Bachelor of Law","Faculty Of Law"
15,"Bachelor of Architecture","Bachelor of Architecture","School of Architecture and Design"
16,"Bachelor of Science in Management Studies","Bachelor of Science in Management Studies","Central Business School"
17,"Bachelor of Science in Planning","Bachelor of Science in Planning","School of Architecture and Design"
18,"Bachelor of Science in Real Estate","Bachelor of Science in Real Estate","School of Architecture and Design"
19,"Bachelor of Science in Agribusiness","Bachelor of Science in Agribusiness","Central Business School"
20,"Bachelor of Science in Civil Engineering","Bachelor of Science in Civil Engineering","School of Engeneering and Technology"
21,"Bachelor of Science in Computer Science","Bachelor of Science in Computer Science","School of Engeneering and Technology"
22,"Bachelor of Science in Banking and Finance","Bachelor of Science in Banking and Finance","Central Business School"
23,"Bachelor of Science in Information Technology","Bachelor of Science in Information Technology","School of Engeneering and Technology"
24,"Bachelor of Science in Business","Bachelor of Science in Business","Central Business School"
25,"Bachelor of Science in Nursing","Bachelor of Science in Nursing","School of Medicine and Health Sciences"
26,"Administration with Marketing","Administration with Marketing","Central Business School"
27,"Bachelor of Science in Physician Assistantship","Bachelor of Science in Physician Assistantship","School of Medicine and Health Sciences"
28,"Bachelor of Science in Public Health","Bachelor of Science in Public Health","School of Medicine and Health Sciences"
29,"Administration with Human Resource Management","Administration with Human Resource Management","Central Business School"
30,"Administration with Accounting","Administration with Accounting","Central Business School"
31,"MBA (Human Resource Management)","MBA (Human Resource Management)","Central Business School"
